key	catalog_key	colours	skus	name_ru_before	name_ru	name_en	name_hy
|decorative wall hood 90 cm cortina aesthetic	|decorative wall hood 90 cm cortina aesthetic	2	2	Декоративная настенная вытяжка 90 см, эстетика Cortina	Декоративная настенная вытяжка 90 см, эстетика Cortina	Decorative wall hood 90 cm Cortina Aesthetic	Դեկորատիվ պատի օդաքաշ 90 սմ, Cortina էսթետիկա
|decorative wall hood 90 cm linea aesthetic	|decorative wall hood 90 cm linea aesthetic	2	2	Декоративная настенная вытяжка 90 см, эстетика Linea	Декоративная настенная вытяжка 90 см, эстетика Linea	Decorative wall hood 90 cm Linea Aesthetic	Դեկորատիվ պատի օդաքաշ 90 սմ, Linea էսթետիկա
|decorative wall hood 90 cm portofino aesthetic	|decorative wall hood 90 cm portofino aesthetic	8	8	Декоративная настенная вытяжка 90 см, эстетика Portofino	Декоративная настенная вытяжка 90 см, эстетика Portofino	Decorative wall hood 90 cm Portofino Aesthetic	Դեկորատիվ պատի օդաքաշ 90 սմ, Portofino էսթետիկա
|decorative wall hood 90 cm universale aesthetic	|decorative wall hood 90 cm universale aesthetic	6	21	Декоративная настенная вытяжка 90 см, эстетика Universale	Декоративная настенная вытяжка 90 см, эстетика Universale	Decorative wall hood 90 cm Universale Aesthetic	Դեկորատիվ պատի օդաքաշ 90 սմ, Universale էսթետիկա
|decorative wall hood 90 cm victoria aesthetic	|decorative wall hood 90 cm victoria aesthetic	5	7	Декоративная настенная вытяжка 90 см, эстетика Victoria	Декоративная настенная вытяжка 90 см, эстетика Victoria	Decorative wall hood 90 cm Victoria Aesthetic	Դեկորատիվ պատի օդաքաշ 90 սմ, Victoria էսթետիկա
|double lever filtered water kitchen tap 50's style aesthetic	|double lever filtered water kitchen tap 50's style aesthetic	3	3	Кухонный смеситель с двумя рычагами и фильтрованной водой, эстетика 50's Style	Кухонный смеситель с двумя рычагами и фильтрованной водой, эстетика 50's Style	Double lever filtered water kitchen tap 50's Style Aesthetic	Երկու լծակով խոհանոցային ծորակ զտված ջրով, 50's Style էսթետիկա
|double lever filtered water kitchen tap universale aesthetic	|double lever filtered water kitchen tap universale aesthetic	2	3	Кухонный смеситель с двумя рычагами и фильтрованной водой, эстетика Universale	Кухонный смеситель с двумя рычагами и фильтрованной водой, эстетика Universale	Double lever filtered water kitchen tap Universale Aesthetic	Երկու լծակով խոհանոցային ծորակ զտված ջրով, Universale էսթետիկա
|hand mixer 50's style aesthetic	|hand mixer 50's style aesthetic	7	7	Ручной миксер эстетика 50's Style	Ручной миксер эстетика 50's Style	Hand Mixer 50's Style Aesthetic	Ձեռքի միքսեր 50's Style էսթետիկա
|integrated (semi) hood 60 cm universale aesthetic	|integrated (semi) hood 60 cm universale aesthetic	5	15	Встраиваемая (полувстраиваемая) вытяжка 60 cm, эстетика Universale	Встраиваемая (полувстраиваемая) вытяжка 60 cm, эстетика Universale	Integrated (semi) hood 60 cm Universale Aesthetic	Ներկառուցվող (կիսաներկառուցվող) օդաքաշ 60 cm, Universale էսթետիկա
|integrated (semi) hood 90 cm universale aesthetic	|integrated (semi) hood 90 cm universale aesthetic	4	11	Встраиваемая (полувстраиваемая) вытяжка 90 cm, эстетика Universale	Встраиваемая (полувстраиваемая) вытяжка 90 cm, эстетика Universale	Integrated (semi) hood 90 cm Universale Aesthetic	Ներկառուցվող (կիսաներկառուցվող) օդաքաշ 90 cm, Universale էսթետիկա
|integrated hood 52 cm universale aesthetic	|integrated hood 52 cm universale aesthetic	2	2	Встраиваемая вытяжка 52 cm, эстетика Universale	Встраиваемая вытяжка 52 cm, эстетика Universale	Integrated hood 52 cm Universale Aesthetic	Ներկառուցվող օդաքաշ 52 cm, Universale էսթետիկա
|integrated hood 54 cm universale aesthetic	|integrated hood 54 cm universale aesthetic	2	3	Встраиваемая вытяжка 54 cm, эстетика Universale	Встраиваемая вытяжка 54 cm, эстетика Universale	Integrated hood 54 cm Universale Aesthetic	Ներկառուցվող օդաքաշ 54 cm, Universale էսթետիկա
|integrated hood 60 cm universale aesthetic	|integrated hood 60 cm universale aesthetic	2	4	Встраиваемая вытяжка 60 cm, эстетика Universale	Встраиваемая вытяжка 60 cm, эстетика Universale	Integrated hood 60 cm Universale Aesthetic	Ներկառուցվող օդաքաշ 60 cm, Universale էսթետիկա
|integrated hood 75 cm universale aesthetic	|integrated hood 75 cm universale aesthetic	2	4	Встраиваемая вытяжка 75 cm, эстетика Universale	Встраиваемая вытяжка 75 cm, эстетика Universale	Integrated hood 75 cm Universale Aesthetic	Ներկառուցվող օդաքաշ 75 cm, Universale էսթետիկա
|integrated hood 90 cm universale aesthetic	|integrated hood 90 cm universale aesthetic	2	6	Встраиваемая вытяжка 90 cm, эстетика Universale	Встраиваемая вытяжка 90 cm, эстетика Universale	Integrated hood 90 cm Universale Aesthetic	Ներկառուցվող օդաքաշ 90 cm, Universale էսթետիկա
|non-stick casserole dish diameter 24 cm	|non-stick casserole dish diameter 24 cm	3	3	Антипригарная кастрюля-сотейник диаметром 24 см	Антипригарная кастрюля-сотейник диаметром 24 см	Non-stick Casserole Dish Diameter 24 cm	Չկպչող կաթսա՝ տրամագիծը 24 սմ
|non-stick deep pan diameter 28 cm	|non-stick deep pan diameter 28 cm	3	3	Глубокая сковорода с антипригарным покрытием, диаметр 28 см	Глубокая сковорода с антипригарным покрытием, диаметр 28 см	Non-stick Deep pan Diameter 28 cm	Չկպչող խորը թավա, տրամագիծը՝ 28 սմ
|non-stick frying pan diameter 20 cm	|non-stick frying pan diameter 20 cm	3	3	Сковорода с антипригарным покрытием, диаметр 20 см	Сковорода с антипригарным покрытием, диаметр 20 см	Non-stick Frying pan Diameter 20 cm	Չկպչող տապակի տրամագիծը 20 սմ
|non-stick frying pan diameter 24 cm	|non-stick frying pan diameter 24 cm	3	3	Сковорода с антипригарным покрытием, диаметр 24 см	Сковорода с антипригарным покрытием, диаметр 24 см	Non-stick Frying pan Diameter 24 cm	Կպչունություն չունեցող տապակ՝ 24 սմ տրամագծով
|non-stick frying pan diameter 28 cm	|non-stick frying pan diameter 28 cm	3	3	Сковорода с антипригарным покрытием, диаметр 28 см	Сковорода с антипригарным покрытием, диаметр 28 см	Non-stick Frying pan Diameter 28 cm	Կպչունություն չունեցող տապակած թավա, տրամագիծը՝ 28 սմ
|non-stick saucepan diameter 20 cm	|non-stick saucepan diameter 20 cm	3	3	Сотейник с антипригарным покрытием, диаметр 20 см	Сотейник с антипригарным покрытием, диаметр 20 см	Non-stick Saucepan Diameter 20 cm	Չկպչող ծածկույթով թավա, տրամագիծը՝ 20 սմ, գույնը՝
|non-stick wok diameter 30 cm	|non-stick wok diameter 30 cm	3	3	Антипригарный вок диаметром 30 см	Антипригарный вок диаметром 30 см	Non-stick Wok Diameter 30 cm	Չկպչող վոկ, տրամագիծ 30 սմ
|panel accessory for: dishwashers classica	|panel accessory for: dishwashers classica	2	3	Panel, аксессуар для: посудомоечные машины Classica	Panel, аксессуар для: посудомоечные машины Classica	Panel Accessory for: Dishwashers Classica	Panel, պարագա՝ ամանլվացքի մեքենաներ Classica համար
|panel accessory for: dishwashers portofino	|panel accessory for: dishwashers portofino	2	2	Panel, аксессуар для: посудомоечные машины Portofino	Panel, аксессуар для: посудомоечные машины Portofino	Panel Accessory for: Dishwashers Portofino	Panel, պարագա՝ ամանլվացքի մեքենաներ Portofino համար
|semi-professional single lever kitchen tap 50's style aesthetic	|semi-professional single lever kitchen tap 50's style aesthetic	7	7	Кухонный смеситель полупрофессиональный однорычажный, эстетика 50's Style	Кухонный смеситель полупрофессиональный однорычажный, эстетика 50's Style	Semi-professional single lever kitchen tap 50's Style Aesthetic	Խոհանոցային ծորակ կիսապրոֆեսիոնալ մեկ լծակով, 50's Style էսթետիկա
|semi-professional single lever kitchen tap coloniale aesthetic	|semi-professional single lever kitchen tap coloniale aesthetic	3	3	Кухонный смеситель полупрофессиональный однорычажный, эстетика Coloniale	Кухонный смеситель полупрофессиональный однорычажный, эстетика Coloniale	Semi-professional single lever kitchen tap Coloniale Aesthetic	Խոհանոցային ծորակ կիսապրոֆեսիոնալ մեկ լծակով, Coloniale էսթետիկա
|semi-professional single lever kitchen tap universale aesthetic	|semi-professional single lever kitchen tap universale aesthetic	5	7	Кухонный смеситель полупрофессиональный однорычажный, эстетика Universale	Кухонный смеситель полупрофессиональный однорычажный, эстетика Universale	Semi-professional single lever kitchen tap Universale Aesthetic	Խոհանոցային ծորակ կիսապրոֆեսիոնալ մեկ լծակով, Universale էսթետիկա
|single lever kitchen tap coloniale aesthetic	|single lever kitchen tap coloniale aesthetic	4	4	Кухонный смеситель однорычажный, эстетика Coloniale	Кухонный смеситель однорычажный, эстетика Coloniale	Single lever kitchen tap Coloniale Aesthetic	Խոհանոցային ծորակ մեկ լծակով, Coloniale էսթետիկա
|single lever kitchen tap universale aesthetic	|single lever kitchen tap universale aesthetic	6	22	Кухонный смеситель однорычажный, эстетика Universale	Кухонный смеситель однорычажный, эстетика Universale	Single lever kitchen tap Universale Aesthetic	Խոհանոցային ծորակ մեկ լծակով, Universale էսթետիկա
|stand mixer 50's style aesthetic	|stand mixer 50's style aesthetic	4	7	Планетарный миксер эстетика 50's Style	Планетарный миксер эстетика 50's Style	Stand Mixer 50's Style Aesthetic	Պլանետար միքսեր 50's Style էսթետիկա
|stand mixer full color 50's style aesthetic	|stand mixer full color 50's style aesthetic	7	14	Планетарный миксер полноцветный эстетика 50's Style	Планетарный миксер полноцветный эстетика 50's Style	Stand Mixer full 50's Style Aesthetic	Պլանետար միքսեր լիագույն 50's Style էսթետիկա
|suspended hood with lighting system 100 cm isola aesthetic line	|suspended hood with lighting system 100 cm isola aesthetic line	2	2	Подвесная вытяжка со световой системой 100 см, линия Isola	Подвесная вытяжка со световой системой 100 см, линия Isola	Suspended hood with lighting system 100 cm Isola aesthetic line	Կախված օդաքաշ լուսավորության համակարգով 100 սմ, Isola էսթետիկա
|suspended hood with lighting system 180 cm isola aesthetic line	|suspended hood with lighting system 180 cm isola aesthetic line	2	2	Подвесная вытяжка со световой системой 180 см, линия Isola	Подвесная вытяжка со световой системой 180 см, линия Isola	Suspended hood with lighting system 180 cm Isola aesthetic line	Կախված օդաքաշ լուսավորության համակարգով 180 սմ, Isola էսթետիկա
Blenders|high performance blender colour, matt finish collezione aesthetic	Blenders|high performance blender colour, matt finish collezione aesthetic	3	3	Высокопроизводительный блендер матовый Collezione Aesthetic	Высокопроизводительный блендер матовый Collezione Aesthetic	High performance blender Matt finish Collezione Aesthetic	Բարձր արդյունավետության բլենդեր Փայլատ Collezione Aesthetic
Blenders|mini personal blender colour, glossy finishing 50's style aesthetic	Blenders|mini personal blender colour, glossy finishing 50's style aesthetic	7	11	Мини-персональный блендер, глянцевый, стиль 50-х годов	Мини-персональный блендер, глянцевый, стиль 50-х годов	Mini Personal Blender Glossy finishing 50's Style Aesthetic	Մինի անհատական բլենդեր Փայլուն ավարտ, 50-ականների ոճի էսթետիկա
Blenders|table blender 1.5 litre capacity, 3 intensity levels 50's style aesthetic	Blenders|table blender 1.5 litre capacity, 3 intensity levels 50's style aesthetic	7	7	настольный блендер Smeg, объем 1,5 литра, 3 уровня интенсивности, эстетика 50-х годов	настольный блендер Smeg, объем 1,5 литра, 3 уровня интенсивности, эстетика 50-х годов	Table Blender 1.5 Litre Capacity, 3 intensity levels 50's Style aesthetic	սեղանի բլենդեր 1.5 լիտր տարողությամբ, 3 ինտենսիվության մակարդակ, 50-ականների ոճի դիզայն
Citrus Juicer|citrus juicer , glossy 50's style aesthetic	Citrus Juicer|citrus juicer , glossy 50's style aesthetic	7	7	Соковыжималка для цитрусовых Smeg, глянцевая, в стиле 50-х годов	Соковыжималка для цитрусовых Smeg, глянцевая, в стиле 50-х годов	Citrus Juicer Glossy 50's Style Aesthetic	Մրգահյութ պատրաստող սարք, փայլուն 50-ականների ոճի էսթետիկա
Coffee Grinder|coffee grinder 50's style aesthetic	Coffee Grinder|coffee grinder 50's style aesthetic	6	10	Кофемолка в стиле 50-х годов	Кофемолка в стиле 50-х годов	Coffee Grinder 50's Style Aesthetic	Սրճաղաց սև՝ 50-ականների ոճի դիզայնով
Coffee machine|automatic built-in espresso coffee machine 45 cm compact coloniale aesthetic	Coffee machine|automatic built-in espresso coffee machine 45 cm compact coloniale aesthetic	2	2	Автоматическая встраиваемая кофемашина эспрессо, компактная, 45 см, эстетика Coloniale	Автоматическая встраиваемая кофемашина эспрессо, компактная, 45 см, эстетика Coloniale	Automatic built-in espresso coffee machine 45 cm compact Coloniale Aesthetic	Մեկտեղված ավտոմատ էսպրեսո սրճեփ մեքենա 45 սմ կոմպակտ Coloniale ոճի
Coffee machine|automatic built-in espresso coffee machine 45 cm compact linea aesthetic	Coffee machine|automatic built-in espresso coffee machine 45 cm compact linea aesthetic	2	2	Автоматическая встраиваемая кофемашина эспрессо, компактная, 45 см, эстетика Linea	Автоматическая встраиваемая кофемашина эспрессо, компактная, 45 см, эстетика Linea	Automatic built-in espresso coffee machine 45 cm compact Linea Aesthetic	Մեկանգամյա օգտագործման ավտոմատ ներկառուցվող էսպրեսո սրճեփ մեքենա 45 սմ կոմպակտ Linea էսթետիկա
Cooker|cooker with gas hob 100x60 cm classica aesthetic	Cooker|cooker with gas hob 100x60 cm classica aesthetic	2	3	Плита газовая 100x60 см, Classica Aesthetic	Плита газовая 100x60 см, Classica Aesthetic	Cooker with Gas Hob 100x60 cm Classica Aesthetic	Գազօջախ՝ գազի վրայի տաքացուցիչով, 100x60 սմ, Classica կատեգորիայի
Cooker|cooker with gas hob 100x60 cm victoria aesthetic	Cooker|cooker with gas hob 100x60 cm victoria aesthetic	3	3	Плита с газовой варочной панелью 100x60 см, эстетика Victoria	Плита с газовой варочной панелью 100x60 см, эстетика Victoria	Cooker with Gas Hob 100x60 cm Victoria Aesthetic	Սալօջախ գազային մակերեսով 100x60 սմ, Victoria էսթետիկա
Cooker|cooker with gas hob 110x60 cm victoria aesthetic	Cooker|cooker with gas hob 110x60 cm victoria aesthetic	5	5	Плита с газовой варочной панелью 110x60 см, эстетика Victoria	Плита с газовой варочной панелью 110x60 см, эстетика Victoria	Cooker with Gas Hob 110x60 cm Victoria Aesthetic	Սալօջախ գազային մակերեսով 110x60 սմ, Victoria էսթետիկա
Cooker|cooker with gas hob 60x60 cm classica aesthetic	Cooker|cooker with gas hob 60x60 cm classica aesthetic	2	6	Плита газовая 60x60 см, Classica	Плита газовая 60x60 см, Classica	Cooker with Gas Hob 60x60 cm Classica Aesthetic	Գազօջախ՝ գազի կաթսայատեղով 60x60 սմ Classica Aesthetic
Cooker|cooker with gas hob 60x60 cm victoria aesthetic	Cooker|cooker with gas hob 60x60 cm victoria aesthetic	2	2	Плита с газовой варочной панелью 60x60 см, эстетика Victoria	Плита с газовой варочной панелью 60x60 см, эстетика Victoria	Cooker with Gas Hob 60x60 cm Victoria Aesthetic	Սալօջախ գազային մակերեսով 60x60 սմ, Victoria էսթետիկա
Cooker|cooker with gas hob 90x60 cm classica aesthetic	Cooker|cooker with gas hob 90x60 cm classica aesthetic	4	26	Плита с газовой варочной панелью 90x60 см, эстетика Classica	Плита с газовой варочной панелью 90x60 см, эстетика Classica	Cooker with Gas Hob 90x60 cm Classica Aesthetic	Գազօջախ՝ գազի այրիչներով, 90x60 սմ, Classica դիզայն
Cooker|cooker with gas hob 90x60 cm portofino aesthetic	Cooker|cooker with gas hob 90x60 cm portofino aesthetic	8	9	Плита с газовой панелью 90x60 см, эстетика Portofino	Плита с газовой панелью 90x60 см, эстетика Portofino	Cooker with Gas Hob 90x60 cm Portofino Aesthetic	Գազօջախ Gas Hob 90x60 սմ Portofino Aesthetic
Cooker|cooker with gas hob 90x60 cm victoria aesthetic	Cooker|cooker with gas hob 90x60 cm victoria aesthetic	3	9	Плита газовая 90x60 см, дизайн Victoria	Плита газовая 90x60 см, дизайн Victoria	Cooker with Gas Hob 90x60 cm Victoria Aesthetic	Գազօջախ 90x60 սմ, Victoria դիզայն
Cooker|cooker with induction hob 100x60 cm victoria aesthetic	Cooker|cooker with induction hob 100x60 cm victoria aesthetic	3	3	Плита с индукционной варочной панелью 100x60 см, эстетика Victoria	Плита с индукционной варочной панелью 100x60 см, эстетика Victoria	Cooker with Induction Hob 100x60 cm Victoria Aesthetic	Սալօջախ ինդուկցիոն մակերեսով 100x60 սմ, Victoria էսթետիկա
Cooker|cooker with induction hob 110x60 cm victoria aesthetic	Cooker|cooker with induction hob 110x60 cm victoria aesthetic	4	4	Плита с индукционной варочной панелью 110x60 см, эстетика Victoria	Плита с индукционной варочной панелью 110x60 см, эстетика Victoria	Cooker with Induction Hob 110x60 cm Victoria Aesthetic	Սալօջախ ինդուկցիոն մակերեսով 110x60 սմ, Victoria էսթետիկա
Cooker|cooker with induction hob 60x60 cm classica aesthetic	Cooker|cooker with induction hob 60x60 cm classica aesthetic	4	10	Плита индукционная 60x60 см, Classica Эстетика	Плита индукционная 60x60 см, Classica Эстетика	Cooker with Induction Hob 60x60 cm Classica Aesthetic	Եփելու սարք ինդուկցիոն վահանակով 60x60 սմ Classica Aesthetic
Cooker|cooker with induction hob 60x60 cm victoria aesthetic	Cooker|cooker with induction hob 60x60 cm victoria aesthetic	2	2	Плита с индукционной варочной панелью 60x60 см, эстетика Victoria	Плита с индукционной варочной панелью 60x60 см, эстетика Victoria	Cooker with Induction Hob 60x60 cm Victoria Aesthetic	Սալօջախ ինդուկցիոն մակերեսով 60x60 սմ, Victoria էսթետիկա
Cooker|cooker with induction hob 90x60 cm classica aesthetic	Cooker|cooker with induction hob 90x60 cm classica aesthetic	4	19	Плита индукционная 90x60 см, Classica Aesthetic	Плита индукционная 90x60 см, Classica Aesthetic	Cooker with Induction Hob 90x60 cm Classica Aesthetic	Ինդուկցիոն վառարան 90x60 սմ Classica Aesthetic
Cooker|cooker with induction hob 90x60 cm mista aesthetic	Cooker|cooker with induction hob 90x60 cm mista aesthetic	2	2	Плита с индукционной варочной панелью 90x60 см, Mista Aesthetic	Плита с индукционной варочной панелью 90x60 см, Mista Aesthetic	Cooker with Induction Hob 90x60 cm Mista Aesthetic	Smeg Mista ոճի ինդուկցիոն վահանակով խոհանոցային սալօջախ 90x60 սմ
Cooker|cooker with induction hob 90x60 cm portofino aesthetic	Cooker|cooker with induction hob 90x60 cm portofino aesthetic	8	12	Плита с индукционной варочной панелью 90x60 см, Portofino Aesthetic	Плита с индукционной варочной панелью 90x60 см, Portofino Aesthetic	Cooker with Induction Hob 90x60 cm Portofino Aesthetic	Եփող մակերես ինդուկցիոն վահանակով 90x60 սմ Portofino Aesthetic
Cooker|cooker with induction hob 90x60 cm victoria aesthetic	Cooker|cooker with induction hob 90x60 cm victoria aesthetic	3	9	Плита с индукционной варочной панелью 90x60 см, эстетика Victoria	Плита с индукционной варочной панелью 90x60 см, эстетика Victoria	Cooker with Induction Hob 90x60 cm Victoria Aesthetic	Սալօջախ ինդուկցիոն մակերեսով 90x60 սմ, Victoria էսթետիկա
Cooker|cooker with mixed hob 120x60 cm portofino aesthetic	Cooker|cooker with mixed hob 120x60 cm portofino aesthetic	5	5	Плита комбинированная 120x60 см, дизайн Portofino	Плита комбинированная 120x60 см, дизайн Portofino	Cooker with Mixed Hob 120x60 cm Portofino Aesthetic	Խոհարարական վառարան խառը կաթսայատան հարթակով 120x60 սմ Portofino ոճի
Countertop Combi Oven|countertop combi steam oven , glossy 50's style aesthetic	Countertop Combi Oven|countertop combi steam oven , glossy 50's style aesthetic	6	6	Настольная комбинированная паровая печь глянцевая, стиль 50-х годов	Настольная комбинированная паровая печь глянцевая, стиль 50-х годов	Countertop combi steam oven Glossy 50's Style Aesthetic	Սեղանի համակցված գոլորշու վառարան փայլուն 50-ականների ոճի էսթետիկա
Dishwashers|free-standing dishwasher 60 cm width 50's style aesthetic	Dishwashers|free-standing dishwasher 60 cm width 50's style aesthetic	2	2	Отдельностоящая посудомоечная машина шириной 60 см, эстетика 50's Style	Отдельностоящая посудомоечная машина шириной 60 см, эстетика 50's Style	Free-standing dishwasher 60 cm width 50's Style Aesthetic	Առանձին կանգնող ամանլվացքի մեքենա, 60 սմ լայնք, 50's Style էսթետիկա
Dishwashers|free-standing dishwasher 60 cm width universale aesthetic	Dishwashers|free-standing dishwasher 60 cm width universale aesthetic	3	7	Отдельностоящая посудомоечная машина шириной 60 см, эстетика Universale	Отдельностоящая посудомоечная машина шириной 60 см, эстетика Universale	Free-standing dishwasher 60 cm width Universale Aesthetic	Առանձին կանգնող ամանլվացքի մեքենա, 60 սմ լայնք, Universale էսթետիկա
Dishwashers|fully-integrated built-in dishwasher 60 cm width universale aesthetic	Dishwashers|fully-integrated built-in dishwasher 60 cm width universale aesthetic	2	42	Полностью встраиваемая посудомоечная машина шириной 60 см, эстетика Universale	Полностью встраиваемая посудомоечная машина шириной 60 см, эстетика Universale	Fully-integrated built-in dishwasher 60 cm width Universale Aesthetic	Ամբողջությամբ ներկառուցվող ամանլվացքի մեքենա, 60 սմ լայնք, Universale էսթետիկա
Dishwashers|partially-integrated built-in dishwasher 60 cm width universale aesthetic	Dishwashers|partially-integrated built-in dishwasher 60 cm width universale aesthetic	3	6	Частично встраиваемая посудомоечная машина шириной 60 см, эстетика Universale	Частично встраиваемая посудомоечная машина шириной 60 см, эстетика Universale	Partially-integrated built-in dishwasher 60 cm width Universale Aesthetic	Մասնակի ներկառուցվող ամանլվացքի մեքենա 60 սմ լայնք, Universale էսթետիկա
